QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;"Teoria e História da Arquitetura, do Urbanismo e do 
Paisagismo";Sustentabilidade;Mobilidade e Acessibilidade;True
10;Gestão e Coordenação de Obras;Sustentabilidade;;True
11;Sustentabilidade;Projeto de Arquitetura;;True
12;Planejamento Urbano e Regional;Estudos sociais, econômicos e ambientais;;True
13;Gestão e Coordenação de Projetos;;;True
14;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;;True
15;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;;True
16;Projeto de Urbanismo e de Paisagismo;Políticas públicas e habitacionais;;True
17;Projeto de Urbanismo e de Paisagismo;Infraestrutura urbana;;True
18;Projeto de Arquitetura;Conforto Ambiental;;True
19;Projeto de Urbanismo e de Paisagismo;Infraestrutura urbana;;True
20;Projeto de Urbanismo e de Paisagismo;Topografia;;True
21;Estética e História das Artes;Projeto de Arquitetura;;True
22;Projeto de Arquitetura;Tecnologia da Construção;;True
23;Projeto de Arquitetura;Tecnologia da Construção;;True
24;Projeto de Urbanismo e de Paisagismo;Conforto Ambiental;;True
25;Sustentabilidade;Tecnologia da Construção;;True
26;"Teoria e História da Arquitetura, do Urbanismo e do 
Paisagismo";Sistemas Estruturais;;True
27;Projeto de Arquitetura;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;;True
28;Estudos sociais, econômicos e ambientais;Projeto de Urbanismo e de Paisagismo;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;True
29;Desenho e Meios de Representação e Expressão;Projeto de Arquitetura;;True
30;Planejamento Urbano e Regional;Políticas públicas e habitacionais;;True
31;Tecnologia da Construção;Projeto de Arquitetura;;True
32;Projeto de Arquitetura;Tecnologia da Construção;;False
33;Projeto de Arquitetura;Sistemas Estruturais;;True
34;Projeto de Arquitetura;Técnicas Retrospectivas;;False
35;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;Projeto de Arquitetura;;True
